,FullRawTextPCM,FullRawText,Arg1_RawText,Arg2_RawText,arg1_rawTextPCM_alignment,arg2_raw_textPCM_alignment,connective_rawTextPCM_alignment
21670,": And e say hello. Can you imagine imagine?
","And she said, `Hello. ' Can you imagine","And she said, `Hello",Can you imagine,And e say hello. : hello.,Can you imagine,
21671,"Can you imagine? Liza greet me.
",Can you imagine? Liza said hello to me,Can you imagine,Liza said hello to me,Can you imagine?,Liza greet me. greet me.,
21683,"I tink sey she know me, but I no sure.
","I think she knows me, but I'm not sure",I think she knows me,I'm not sure,"I sey she know me,",tink I no sure.,but
21715,"APOSTLE PAUL, APOSTLE PAUL, APOSTLE PAUL,
",Get caught and you're dead in the water,Get caught,you're dead in the water,"APOSTLE PAUL,","APOSTLE PAUL, PAUL, PAUL, PAUL,","PAUL,"
21724,"Dat one na because only de drop Mere name.
","That's because they only drop ""mere names",That's,"they only drop ""mere names",Dat one na,de only drop Mere name.,because
21732,"Now na name drop if you know wetin I mean.
","Now that's name-dropping, if you know what I mean",Now that's name-dropping,you know what I mean,Now na name drop wetin mean.,you know wetin I mean.,if
21776,"When person start to buy, e go dey hard well, well.
","Once buying habits are formed, they're very hard to break",they're very hard to break,buying habits are formed,"e go well, well, hard to well.","buy, dey person dey start buy, well.",When
21807,"to plant Sagos for back yard
","to plant Sagos, if they must, in the back yard",to plant Sagos in the back yard,they must,Text Not Found,ALIGNMENT Error,if
21913,"wey dey do major orchestras when e still dey student
",who performed with major orchestras while still a student,who performed with major orchestras,still a student,wey wey do major orchestras,still dey student,when
21917,"I no learn count, come reach Juilliard.
",I didn't learn to count until I got to Juilliard,I didn't learn to count,I got to Juilliard,"I no learn count,",Juilliard. come reach Juilliard.,"count,"
21941,"Sey im go kill me if im hear me dey talk sey
",he'd kill me if he heard me say that,he'd kill me,he heard me say that,Sey im go kill me,im hear me talk sey,if
22143,"When the pilot no gree, the company come draw am comot
","When the pilots refused, the company retracted it",the company retracted it,the pilots refused,the company come draw comot comot,"the pilot no gree,",When
22230,"Scars go dey here after poll close
",The scars will be here years after the polls close,The scars will be here,the polls close,dey Scars go dey here,poll close,after
22241,"Dat one no be character, dat one no be character.
",That's not plot. That's not character,That's not plot,That's not character,"Dat one no be character, character.",dat one no be character.,
22242,"Dat kind character na yeye one o.
",That's not character. That's hyperventilating,That's not character,That's hyperventilating,Dat na yeye kind character o.,yeye one o.,
22258,"Tezaco buy Tana before e sell finish
",Texaco acquired Tana before it completed those sales,Texaco acquired Tana,it completed those sales,Tezaco buy Tana,e sell Tezaco finish,before
22325,"wey dey kommand en pipol?
",who is making the rules as he goes,who is making the rules,he goes,wey wey kommand dey kommand,dey pipol?,en
22378,"One team dey pay well, and the oda one dey pay pass.
",One team pays so much and the other pays more,One team pays so much,the other pays more,"One team pay dey well,",the one pay pass.,and
22393,"Person dey come catch me o, I dey extension 29.
",Somebody come get me. I'm at extension 29,Somebody come get me,I'm at extension 29,"Person come catch me o,","I dey o, extension 29.",
22417,"If no increase price, we go dey inside red colour.
","If we didn't increase prices, we'd be in the red",we'd be in the red,we didn't increase prices,go colour. dey inside colour. red,"we no dey increase price,",If
22499,": The proposal, when e suppose be like that, fit deceive me
","The proposal, while well-intended, I think can be dangerously misleading",The proposal can be dangerously misleading,well-intended,Text Not Found,"suppose like that,",when
22501,"Dat one go placate di industry, begin address SEC concern
",that would placate the industry while addressing the SEC's concerns,that would placate the industry,addressing the SEC's concerns,"Dat industry, placate di industry,",begin address one SEC concern,go
22592,"Dem don dey get more independence o, na sound phenomenon o!
",They are becoming more independent. It's a sound phenomenon,They are becoming more independent,It's a sound phenomenon,"Dem dey get more independence o,","don o, o! na sound phenomenon",
22622,"And if e show sey time still dey, make you save am for another time
","and, if it showed time remaining, save it for later",and save it for later,it showed time remaining,Text Not Found,"e show time still dey,",if
22691,"When e dey go runway, e fit go too.
",when he goes the runway could go too,the runway could go too,he goes,"runway, runway, fit go too.",e go,When
22812,": She no fit enter unless anoda inspector follow her.
",she can't enter unless she is accompanied by an inspector,she can't enter,she is accompanied by an inspector,: no fit her. enter,She anoda follow her. anoda inspector,unless
22825,"After dem inspect the house, dem come see sey na big mistake dem take block am
","After being inspected, buildings with substantial damage were color-coded",buildings with substantial damage were color-coded,being inspected,"house, see big mistake come sey take block am","dem inspect the house,",After
22894,"If the risk and reward wey person wey dey build something dey make sense, e go quick do wetin e talk
","If the risks and rewards are reasonable, developers will respond",developers will respond,the risks and rewards are reasonable,something make talk,"the risk and reward person sense, wetin",If
23027,"Dem go fall another 20 percent before dem go stabilize am
",to fall another 20% before stabilizing,to fall another 20%,stabilizing,go fall another 20 percent,stabilize,before
23080,"and do research if necessary
","and perform research, if necessary",and perform research,necessary,and do research,necessary,if
23127,"Describe di guy be, and wetin e dey do.
",who the guy was and what he was doing,who the guy was,what he was doing,"and Describe guy be,",wetin dey dey do.,e
23183,": The business wey dem shut up wen robbers kill the owner
",The business closed when the owner was murdered by robbers,The business closed,the owner was murdered by robbers,The business shut,the owner dem kill up robbers,:
23244,"Wetin fit happen when hard work no dey again
",what can happen when the going gets rough,what can happen,the going gets rough,Wetin fit happen,hard dey work again,when
23245,"How one fund take get money when dem hammer market
",how a fund did when the market got hammered,how a fund did,the market got hammered,How one fund take,dem money get hammer market,when
23270,": to sell when your stock dey sell 30% increase
",to sell when a stock appreciates 30% over its cost,to sell,a stock appreciates 30% over its cost,to sell,your stock dey 30% increase : sell,when
23329,"Di budget na only $400,000. Atens with Spartan means
","The budget was only $400,000. ""Athens with Spartan means","The budget was only $400,000",Athens with Spartan means,"Di budget na only $400,000.",Atens with Spartan means,
23400,"talk about am until after God catch am
",to talk about it until after he gets caught,to talk about it,he gets caught,talk about am,God catch am,after
23404,"E evades, and ducks o.
",It's serious stuff. He evades and ducks,It's serious stuff,He evades and ducks,"evades, o.","E evades, and ducks",
23452,"Bond wahala dey fall, price come down
",bond yields jumped and prices tumbled,bond yields jumped,prices tumbled,"Bond dey wahala fall,",price wahala come down,"fall,"
23457,"to buy bond before di rally start
",to buy bonds before the rally begins,to buy bonds,the rally begins,to buy bond,di rally start,before
23808,"wey pursue UAL come drop im bid on Wednesday
",who had pursued UAL before dropping his bid Wednesday,who had pursued UAL,dropping his bid Wednesday,wey wey pursue UAL,drop on im bid Wednesday,come
23882,"continue to dey grow fast, while other computer company dey fail.
",continuing its rapid growth while other computer companies falter,continuing its rapid growth,other computer companies falter,"continue to fast, grow",other computer company fail.,while
23892,"Once you enter, you no fit get out.
","once you get in, you can't get out",you can't get out,you get in,you no fit get out.,"you enter, enter, out.",Once
23927,"E go continue to dey work until person wey be new agency don choose
",it will continue work until a new agency is chosen,it will continue work,a new agency is chosen,E go continue work,person new agency be choose,until
23971,"Federal Child Care (CHack) di Clean Air bill (CHack)
",Federal child care (quack). The Clean Air bill (quack,Federal child care (quack,The Clean Air bill (quack,Federal Child Care (CHack) di,(CHack) Clean Air bill (CHack),
23996,"Oda analysts talk sey dat one dey low.
",Other analysts say that estimate is low. Quack,Other analysts say that estimate is low,Quack,Oda analysts talk dat one dey low.,sey,
24041,"Dem go dey rate pass as e suppose be.
",that rates will be pushed higher if necessary,that rates will be pushed higher,necessary,Dem rate go suppose pass be.,be.,as
24090,"We fit ask you question as you dey do things
",We may ask questions as you go along,We may ask questions,you go along,We fit ask question,you do things,ask
24095,"When e dey pass, the court people come dey ask am many question.
","When he was through, the court members asked many questions",the court members asked many questions,he was through,the court people ask many question.,"e come pass,",When
24236,"Stock market dey weak because profit dey weak
",The stock market is sick because profits are crumbling,The stock market is sick,profits are crumbling,dey Stock market dey weak,profit dey dey weak,because
24409,"Dat kain collapse last week after bank no fit raise enough money.
",that collapsed last week after banks wouldn't raise needed loans,that collapsed last week,banks wouldn't raise needed loans,Dat collapse last week,bank kain no fit money. raise enough money.,after
24489,"APOSTLE PAUL, APOSTLE PAUL, APOSTLE PAUL, APOSTLE PAUL, APOSTLE PAUL,
",LEBANESE LAWMAKERS APPROVED a peace plan but Aoun rejected it,LEBANESE LAWMAKERS APPROVED a peace plan,Aoun rejected it,"APOSTLE PAUL, APOSTLE PAUL, APOSTLE PAUL, PAUL, APOSTLE PAUL, APOSTLE PAUL, PAUL, PAUL,","PAUL, PAUL, PAUL,","PAUL,"
24553,"But if e sharp, e get chance.
","But if he's sharp and quick, he has a chance",But he has a chance,he's sharp and quick,Text Not Found,"e sharp, sharp,",if
24595,"And this one give us plenty heat for many hours before we go die
",and produced excess heat for several hours before dying down,and produced excess heat for several hours,dying down,And give plenty heat for many hours,go die,before
24619,"Make we no announce am until dem fit confirm am
",not to announce it until they could confirm it,not to announce it,they could confirm it,Make no announce am,dem fit confirm am,until
24671,"But if the gold price come down, silva fit come out sharperly
","Yet if gold prices improve, silver prices could rally sharply",Yet silver prices could rally sharply,gold prices improve,Text Not Found,"gold price come down,",if
24694,"This one continue until wetin dem dey sell finish.
",which continued until the close of trading,which continued,the close of trading,This continue,finish. wetin finish. sell,until
24717,"Elephant dey fight ants
","When elephants start fighting, ants get killed",ants get killed,elephants start fighting,ants dey,Elephant dey fight,ALIGNMENT Error
24768,"Maybe I be small ting, but I no go sell am.
","Maybe I'm a little stuffy, but I wouldn't sell them",Maybe I'm a little stuffy,I wouldn't sell them,"Maybe I be small ting, go am.",I no sell am.,but
24793,": burn your house if you no know wetin you dey do
",to get burned if you don't know what you're doing,to get burned,you don't know what you're doing,: burn house,you no wetin dey know wetin your you dey do,if
24802,": get me now, or get me now.
","get me in now"" or ""get me out now",get me in now,get me out now,"get me now,",: get me now. now.,or
24813,"If the stock reach 54 years and e fall
",if the stock reaches 54 and then falls,if the stock reaches 54,and falls,If the stock reach 54,Text Not Found,e
24846,": E dey use fillol order almost every time wey e dey sell
",he uses fill-or-kill orders almost exclusively when trading options,he uses fill-or-kill orders almost exclusively,trading options,: use E dey fillol wey order almost every,sell e,time
24860,"to enter ‘good tick limit ’ come later forget about dem
","of entering ""good-til-canceled limit orders"" and then forgetting about them","of entering ""good-til-canceled limit orders",and forgetting about them,to enter ‘good tick later limit ’,Text Not Found,den
24913,": come add one hour join wetin dey di money wey dey give am
",Then take the expected return and subtract one standard deviation,Then take the expected return,subtract one standard deviation,: join dey give hour,add wetin one wetin dey money,come
24933,"E never do dat kain leap wey we dey do.
",he has not made that intellectual leap. We were wrong,he has not made that intellectual leap,We were wrong,E kain never do dat kain leap do.,we dey do.,
24935,"Capital don dey democratized, and people want am.
","Capital has been democratized, and people want in",Capital has been democratized,people want in,"Capital don dey democratized,",people want am.,and
24970,"So make you go dere go chop dat your debt.
",So go out there and eat that debt,So go out there,eat that debt,So make go dere,chop your debt.,go
25056,"Now dem be laxer, and e dey for prison for Mobile County.
",Now they're losers and he's in jail in Mobile County,Now they're losers,he's in jail in Mobile County,"Now dem be laxer, laxer,",e dey for prison for Mobile County.,and
25061,"You don already know the answer to this question.
",Never mind. You already know the answer,Never mind,You already know the answer,this question.,You already know the answer,
25159,": If di pikin don reach six years,
",if the plan begins when the child is six,if the plan begins,the child is six,If pikin pikin don,"di years, reach six",:
25188,"Dat one no go matter if person don mature
",That won't matter if they are held to maturity,That won't matter,they are held to maturity,Dat no go matter,person don one mature,if
25278,"Dat one go knock your shoe comot once e don build.
","that will knock your socks off, once it is built",that will knock your socks off,it is built,Dat go knock your shoe comot build.,one don build.,once
25285,"John Blodgett agree, and e suppose know
",John Blodgett agrees -- and he ought to know,John Blodgett agrees,he ought to know,"John Blodgett agree,",e suppose suppose know,and
25289,": All of us na small greedy, everybody dey vulnerable.
",We're all a little greedy. Everyone is vulnerable,We're all a little greedy,Everyone is vulnerable,"of us greedy, All na small greedy, vulnerable.",everybody dey vulnerable.,
25296,"to miss that opportunity as e dey come
",to miss that opportunity when it seems to come along,to miss that opportunity,it seems to come along,to miss that opportunity,e dey come dey,as
25379,"and dem must renew am when expire.
",and must be renewed when it expires,and must be renewed,it expires,and must renew renew,dem expire.,when
25399,"If I die early, I go win.
","If I die early, I win -- a hollow victory",I win -- a hollow victory,I die early,I go win. win.,"I die early,",If
25400,"hollow win o because I no fit enjoy am
","a hollow victory, since I can't enjoy it",a hollow victory,I can't enjoy it,hollow win o,I no fit enjoy am,because
25402,"and if I live long, person wey get insurance go buy me
","and if I live long, the insurer wins",and the insurer wins,I live long,Text Not Found,"I live long,",if
25413,"to die when e dey protect am
",to die while under its protection,to die,under its protection,to die,dey e protect,when
25476,"and shop for something wey dey sweet her
",and shop for something more exciting while she's doing it,and shop for something more exciting,she's doing it,and shop for something wey dey,wey dey her,sweet
25515,"Na tradas stand, no be better position.
",It's traders squaring positions. It's not good,It's traders squaring positions,It's not good,"Na stand, tradas stand, position.",be no better,
25562,"You be o, and maybe no be only you.
","You're probably right, and you aren't alone",You're probably right,you aren't alone,"You be you. maybe o,",you. maybe no be only,and
25581,"All of us dey like stress, but limit dey.
","We all like stress, but there's a limit",We all like stress,there's a limit,"us All like stress,",of dey dey. dey. limit,but
25607,": Wait until you become small pikin
",Just Wait Until  You're a Bit Older,Just Wait,You're a Bit Older,: Wait,small pikin pikin,until
25617,"katakata full everywhere for Jerusalem before e die
",she had before she had to pay the catastrophic surtax,she had,she had to pay the catastrophic surtax,full,e everywhere die Jerusalem everywhere for katakata,before
25626,": e dey lose money now, e dey blame importer.
",he is losing money now. He blames imports,he is losing money now,He blames imports,": dey lose money now, importer.",e blame importer.,blame
25662,": leda also dey attract people wey go buy vexnashon later
",leathers also attract retailers who may buy furs later,leathers also attract retailers,who may buy furs,leda also attract : people,wey go buy vexnashon,later
25860,"Free Toaster when you open your account
",getting a free toaster when you open an account,getting a free toaster,you open an account,Free Toaster,you open your account,when
25940,"to change when Vietnam begin dey do economic reform
",to change when Vietnam's economic reforms gathered pace,to change,Vietnam's economic reforms gathered pace,to change,Vietnam dey do economic reform begin dey,when
25949,"Dem lost, and I win.
",they lost and I won,they lost,I won,"Dem lost,",I win.,and
25956,": To comot before dem seize the house and the things wey dey inside
",to leave before the house and contents were confiscated,to leave,the house and contents were confiscated,To comot,the house and things dey seize wey inside,before
26123,"If sey Webster no happen, you no dey here.
","If Webster hadn't happened, you wouldn't be here",you wouldn't be here,Webster hadn't happened,you no dey here. dey here.,"Webster sey no happen,",If
26194,": If you want know more, tell my wife
",If you want more opinions ask my wife,ask my wife,you want more opinions,tell my wife,"you want more, more,",If
26248,"Belle dey sweet am as e dey try make e no fall
",smiling as she tries to get up from a fall,smiling,she tries to get up from a fall,dey sweet,Belle try dey make e am no fall,as
26250,"E dey okay if you fall.
",it's okay if you fall,it's okay,you fall,E dey okay,you fall.,if
26252,": If you slip, you go wind up inside your body.
","if you slip, you'll wind up in a body cast",you'll wind up in a body cast,you slip,: you go wind up inside your body. body.,"you slip,",If
26265,": To do no be only ski and to sit down for inside bar
",to do besides ski and sit in the bar,to do,ski and sit in the bar,To do,ski and sit down inside bar,be only
26389,"When dem stop to do business, all market liquidity don go down.
","When they halt trading, all market liquidity is gone",all market liquidity is gone,they halt trading,all market liquidity go down.,"dem stop business,",When
26404,"Liquidity na service wey dem dey sell give people.
",Liquidity is not a service. It is a market attribute,Liquidity is not a service,It is a market attribute,Liquidity wey dey na service people.,dem wey dey sell give people.,
26420,"As e dey easy for person to lose money and the more e dey hard am to make money strong
",as losing money becomes easier and making money becomes tougher,as losing money becomes easier,making money becomes tougher,As lose money to easy,make money the more hard strong,and
26427,"When de hit hit, de hit fast, fast
","When they do hit, they hit fast",they hit fast,they do hit,de hit fast,"de hit hit,",When
26460,"Keeping small of the container no be wetin you dey use again.
",holding fewer stocks than usual and also shunning bonds,holding fewer stocks than usual,and shunning bonds,Keeping the container of again.,Text Not Found,again.
26507,"and dey take medicine when dem dey sick
",and take medicine when they're sick,and take medicine,they're sick,and take medicine,dem dey sick,when
26537,"Sey inflation dey increase while di economy dey slow.
",that inflation is moderating while the economy slows,that inflation is moderating,the economy slows,Sey inflation Sey dey increase,di economy slow.,while
26542,": buy long term bond bond, sell short term Treasury bond
",and buying long-term bonds while selling shorter-term Treasurys,and buying long-term bonds,selling shorter-term Treasurys,": buy long term bond bond,",sell short term Treasury bond,"bond,"
26577,"We dey arrange wetin dey yield well
",structured when the yield curve was more favorable,structured,the yield curve was more favorable,arrange dey,We yield wetin dey arrange well,wetin
26611,": to get firm bank commitments before launching new bid
",to have firm bank commitments before launching a new bid,to have firm bank commitments,launching a new bid,to get firm bank commitments,launching : new bid,before
26729,"De put no oda fee, and many people still no pay.
","they imposed no other fees, and many still don't",they imposed no other fees,many still don't,"De put no oda fee,",many still people no pay.,and
26804,"Barbra Streisand make people know am well well, e come even cut im hair
",Barbra Streisand made him famous. He cut her hair,Barbra Streisand made him famous,He cut her hair,"Barbra Streisand make people well,",come cut im hair,
26805,"E cut im hair, e live wit am
",He cut her hair. He lived with her,He cut her hair,He lived with her,"E cut im hair,",e live wit am,
26818,"Di script, we no fit read am again, we come change am.
",The script was unreadable. We reinvented it,The script was unreadable,We reinvented it,"Di script, script, no read again, am.","we again, come change am.",
26819,"We reinvent am o, we be the people wey dey produce that movie.
",We reinvented it. We are the producers of that movie,We reinvented it,We are the producers of that movie,"We reinvent am o, movie.",we be the people produce that movie.,
26828,"Jon dey quick do mistake and Peter dey quick vex
","Jon is very impulsive, and Peter is very compulsive",Jon is very impulsive,Peter is very compulsive,Jon dey quick dey do mistake,Peter dey quick dey vex,and
26861,"Dem dey always listen, but dem no dey listen
","They always listened, but they never acted",They always listened,they never acted,"Dem always dey listen,",dem no listen,but
26945,": to sell their property quick - quick before the securities mature
",to sell their holdings quickly before the securities mature,to sell their holdings quickly,the securities mature,to sell their property quick quick,the securities mature,before
27004,"Person wey dey sell gold dey always get the one wey e need
",Since gold tends to soar when inflation is high,Since gold tends to soar,inflation is high,Person gold wey sell dey get wey,one the need,always
27086,"E pass 2.2 million people wey come change their hand after dem start to sell
",more than 2.2 million shares changed hands after trading began,more than 2.2 million shares changed hands,trading began,their pass 2.2 million people change hand,sell start,after
27115,"I come see wetin happen. So wetin I go do?
",and realized what had happened. What should I do,and realized what had happened,What should I do,I see wetin wetin happen.,So wetin I do?,
27128,"Di rest na, of course history, di stick no fall.
","The rest is, of course, history. The Stick didn't fall","The rest is, of course, history",The Stick didn't fall,"Di rest na, of course history, history, fall.",di stick no fall.,
27129,"Di Stick no fall, real comedies happen for oda place.
",The Stick didn't fall. The real tragedies occurred elsewhere,The Stick didn't fall,The real tragedies occurred elsewhere,"Di Stick no for fall, place.","fall, real comedies oda happen place.",
27152,"The tape dey for TV before night come
",The tape was on tv before the night was out,The tape was on tv,the night was out,The tape dey for TV,night dey come,before
27170,": Consumer price dey fall, while consumer price still dey climb.
","Retail sales are plummeting, while consumer prices still are rising",Retail sales are plummeting,consumer prices still are rising,": Consumer price dey dey fall, climb.",consumer price still dey climb.,while
27192,": If unchecked so that economy go crash
","if unchecked, to bring the economy to a collapse",to bring the economy to a collapse,unchecked,so that economy go crash,: unchecked,If
27222,": Na Swiss Cheese factory the cheese dey smell well, well
",It's a Swiss-cheese factory and the cheese smells pretty good,It's a Swiss-cheese factory,the cheese smells pretty good,": well, Na Swiss Cheese factory","the cheese dey smell well, well",dey
27241,"Dem want bring change, and bring revolution.
",They wanted reform and they got a revolution,They wanted reform,they got a revolution,"Dem want change,",and bring bring revolution.,"change,"
27270,"APOSTLE PAUL go stay prison wen the matter don do wetin e want
",to have Marlowe jailed when it suits his purposes,to have Marlowe jailed,it suits his purposes,go APOSTLE APOSTLE PAUL stay prison,matter wen wetin the want,PAUL
27382,"or comot for Spain when Franco win
",or left Spain when Franco triumphed,or left Spain,Franco triumphed,or for Spain,Franco comot win,when
27403,"E no matter if dem win one
",It does not matter if one is defeated,It does not matter,one is defeated,E no matter,dem win one,if
27511,"Rehoboam for B.A.T. If Jehovah favor am
",to bid again for B.A.T if he receives approval,to bid again for B.A.T,he receives approval,Rehoboam B.A.T. Rehoboam for B.A.T.,Jehovah favor am,If
27584,"This one fine because they shield them say na them better pass
",which is only fair because they've been shielded the most,which is only fair,they've been shielded the most,say This one fine,they na them shield them better pass,because
27593,"who be prochoice before e die
","who once was pro-choice, but later pro-life",who once was pro-choice,but pro-life,who be prochoice,Text Not Found,before
27634,"Roe v. Wade first put hand for political debate so e come dey hot well well.
","Roe v. Wade pre-empted political debate, so the extremes blossomed",Roe v.Wade pre-empted political debate,the extremes blossomed,Text Not Found,come dey hot well well.,so
27656,"Dem close the bank account before dem bring am out
",that were closed before the bailout legislation was enacted,that were closed,the bailout legislation was enacted,dem Dem close,the bank am account bring out,before
27687,"‘ Ready to do wetin dey Oct. 25
",to be determined when terms are fixed Oct. 25,to be determined,terms are fixed Oct. 25,to do Ready,wetin wetin dey Oct. 25,‘
27695,"buy computer make we fit get more information
",to buy computers so we can get more information,to buy computers,we can get more information,make buy computer,we fit get more information,hence
27711,": to sort news item as e dey come
",to sort through news wire items as they come in,to sort through news wire items,they come in,to sort : news dey item,e dey come,as
27733,"Wetin be waste, and wetin dey important
",what's junk and what's important,what's junk,what's important,"Wetin be waste,",wetin dey important,and
27757,"WASHINGTON LIVE APOSTLE PAUL,
",WASHINGTON LIES LOW after the stock market's roller-coaster ride,WASHINGTON LIES LOW,the stock market's roller-coaster ride,"WASHINGTON APOSTLE PAUL,",APOSTLE LIVE,"PAUL,"
27771,"If I fit show sey I don mature, almost any person fit
","If I can show signs of maturity, almost anybody can",almost anybody can,I can show signs of maturity,almost any person fit,"I don show sey I fit sey mature,",If
27777,"Some of dem dey fear as European Union dey near
",some also fear rising protectionism as European unity nears,some also fear rising protectionism,European unity nears,Some of fear dem dey dey,European Union dey near,as
27888,"We no go know until smoke go clear.
",We won't know until the smoke clears,We won't know,the smoke clears,We no go know,go smoke clear.,until
27940,"wetin go help us if emergency strike
",of what to do if emergency strikes,of what to do,emergency strikes,wetin go us help,emergency strike,if
27965,"Person wey im work na to protect imself or another person wey im work na to dig hole open
",if employees were injured or vaults were broken open,if employees were injured,vaults were broken open,person Person imself protect,to imself hole to dig open,or
27980,"De are very lucky, wit hurricane wey you know sey e dey come.
","they're relatively fortunate. ""With a hurricane you know it's coming",they're relatively fortunate,With a hurricane you know it's coming,"De are wey very lucky, come.","lucky, wit e hurricane you know sey dey come.",
27991,"Dat restaurant fire am because e dey pregnant
",that restaurant fired her because she was pregnant,that restaurant fired her,she was pregnant,Dat restaurant fire am,e dey pregnant,because
28000,": We no dey hire fat people, and we no dey hire cripple.
",We don't hire fat people and we don't hire cripples,We don't hire fat people,we don't hire cripples,"We no dey hire fat people,",we no dey hire cripple.,and
28003,"Dem dey sack am as maitre because e dey pregnant
",she was being fired as maitre'd because she was pregnant,she was being fired as maitre'd,she was pregnant,Dem am sack sack as dey maitre e,dey dey pregnant,because
28071,"Representative for Congress get two basic work while dem dey vote for office
",Congressional representatives have two basic responsibilities while voting in office,Congressional representatives have two basic responsibilities,voting in office,Congress Representative get two basic work,vote for office,while
28136,"Stop me make I kill again
",Stop me before I kill again,Stop me,I kill again,Stop me,I kill again,make
28165,": take happen automatically unless Congress do something
",take place automatically unless Congress acts,take place automatically,Congress acts,take happen automatically,Congress something,unless
28175,"Dat one na small figure and I go talk about am small.
","That is a minimum figure, and I underscore minimum",That is a minimum figure,I underscore minimum,Dat am one small figure small.,I go talk about small.,and
28227,": e no dey go house until di 12 wey dey di world series
",she's not going home until the {World Series} is over,she's not going home,the {World Series} is over,e dey dey no go house,di : world di series wey 12,until
28299,"But who cares about the preaching work
",but who cares as long as the campaigns work,but who cares,the campaigns work,But who cares,the preaching work,preaching about
28377,"And if you fit nid to increase your dividend money later,
",and will make up the dividend payment later if possible,and will make up the dividend payment later,possible,"And to fit increase your dividend money later,","later,",if
28435,"Steel doubol come dey again after three days wey e take do am
",Steel shares fell back after advancing for three days,Steel shares fell back,advancing for three days,Steel e come again,doubol take after three days,doubol
28482,"Dollar wey dem don polish finish, while gold no dey again
","The dollar finished mixed, while gold declined",The dollar finished mixed,gold declined,"polish Dollar finish, don finish,",gold again,while
28503,"Dem leave only some people wey die and wey injure. Many of dem still remain for ground.
",that left scores dead and injured. Thousands remained homeless,that left scores dead and injured,Thousands remained homeless,Dem leave some die and injure.,people Many remain ground.,
28550,"But no gree identify dem unless dem do firm offer
",but wouldn't identify them unless they make firm offers,but wouldn't identify them,they make firm offers,But no gree identify dem,dem do firm offer,unless
28618,": Continue to operate while you dey protect yourself from creditors lawsuit
",to continue to operate while protected from creditors' lawsuits,to continue to operate,protected from creditors' lawsuits,: Continue to operate,protect from yourself creditors you lawsuit,while
28679,"If people no dey buy, you gats close plant.
","If people aren't buying, you have to close plants",you have to close plants,people aren't buying,you gats gats close plant.,"people no dey buy, plant.",If
28731,"Some result na self-explanatory, but some figures surprise us.
",Some results are self-explanatory. But other figures are surprising,Some results are self-explanatory,other figures are surprising,"Some result na self-explanatory,",some figures us. surprise us.,but
28832,"We need dem, and I thank God for dem
",We need them and I thank God for them,We need them,I thank God for them,"We need dem,",I thank God for dem,and
28874,"Dey shoot first and dey ask question later
",to shoot first and ask questions later,to shoot first,and ask questions,Dey shoot first,and ask question,later
28992,"Merkur price na di same with di one wey dey West Germany
","As the West German currency rose, so did Merkur prices",so did Merkur prices,the West German currency rose,with dey Merkur price,wey West Germany dey di same,na
29043,"APOSTLE PAUL no dey again and money no dey again
",as loan portfolio yields rose and money costs declined,as loan portfolio yields rose,money costs declined,APOSTLE no APOSTLE PAUL dey again,money dey again,and
29063,"Terms na a king arrangement o, but details no dey ground.
","Terms include a royalty arrangement, but details weren't disclosed",Terms include a royalty arrangement,details weren't disclosed,"Terms na a king dey arrangement o,","details o, no dey ground.",but
29089,"I dey Berkeley Main Library when e hit me
",I was in the Berkeley Main library when it hit,I was in the Berkeley Main library,it hit,I dey me dey Berkeley Main Library,e hit,when
29094,"This building shake like hell wey fire dey burn and e come dey hot well well
",This building shook like hell and it kept getting stronger,This building shook like hell,it kept getting stronger,This building shake like hell,e come hot well,and
29098,"Cats fine fine oh even though sey dem dey nervous
","The cats are fine, although nervous",The cats are fine,nervous,dey Cats oh fine fine even,nervous,though
29150,"koll am 20 below zero
",shivering as if it were 20 below zero,shivering,it were 20 below zero,koll,am 20 below zero,as if
29169,": All of us fine o, even if e dey worry us well, well.
","We are all fine here, although Mame was extremely freaked",We are all fine here,Mame was extremely freaked,"us of All fine o,","e dey us well, worry well.",even
29170,"Dem born am for one house wey dem dey call Tower of Antonia.
",although Mame was extremely freaked. Kitchen full of broken crystal,although Mame was extremely freaked,Kitchen full of broken crystal,dem Dem house am for wey dey Antonia.,Tower call of one Antonia.,
29179,"Nausea na one common sickness wey people dey call, Berkeley no dey too quiet now.
",Nausea seems a commonplace symptom. Berkeley very quiet right now,Nausea seems a commonplace symptom,Berkeley very quiet right now,"Nausea na one common people sickness call,",Berkeley too quiet now. now.,
29185,"I gree, na true o.
",I agreed. It is,I agreed,It is,"I gree,","gree, o.",
29186,"E dey o!
",It is. Great,It is,Great,E dey o!,o!,
29203,"and another 20 days if dem need am
",and an additional 20 days if needed,and an additional 20 days,needed,and dem another 20 days,am,if
29252,"APOSTLE PAUL no be only institutional investors dey participate
",so substantial gains aren't likely unless institutional investors participate,so substantial gains aren't likely,institutional investors participate,APOSTLE PAUL PAUL no dey be,institutional investors participate,only
29261,"wetin happen before Monday go start
",that took place before the start of Monday's session,that took place,the start of Monday's session,wetin wetin happen,start Monday go,before
29278,"and many many new things dey wey dey happen everyday.
",and are often revised significantly as more information is collected,and are often revised significantly,more information is collected,and everyday. many happen many,new things everyday. everyday.,dey
29325,"I be secretary general if one person dey?
","I'm the secretary-general, if there is one",I'm the secretary-general,there is one,I be secretary general dey?,person dey? one,if
